,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,WHH,WHD,WHA,H_ATT,H_MID,H_DEF,H_OVR,A_ATT,A_MID,A_DEF,A_OVR
528,2009/2010,06/12/09,Fulham,Sunderland,1.0,0.0,H,1.0,0.0,H,M Dean,16.0,8.0,5.0,5.0,9.0,12.0,4.0,8.0,1.0,2.0,0.0,0.0,2.1,3.3,3.5,76.0,76.0,77.0,76.0,78.0,77.0,74.0,75.0
529,2009/2010,12/12/09,Birmingham,West Ham,1.0,0.0,H,0.0,0.0,D,L Mason,16.0,14.0,9.0,7.0,12.0,13.0,11.0,7.0,3.0,4.0,0.0,1.0,2.15,3.3,3.4,73.0,75.0,71.0,74.0,76.0,76.0,75.0,76.0
530,2009/2010,12/12/09,Bolton,Man City,3.0,3.0,D,2.0,2.0,D,M Clattenburg,12.0,14.0,8.0,6.0,11.0,9.0,5.0,9.0,3.0,3.0,0.0,1.0,4.5,3.5,1.8,77.0,75.0,73.0,75.0,84.0,80.0,80.0,81.0
531,2009/2010,12/12/09,Burnley,Fulham,1.0,1.0,D,0.0,0.0,D,M Jones,10.0,12.0,8.0,6.0,12.0,8.0,7.0,4.0,0.0,2.0,0.0,0.0,2.62,3.3,2.62,75.0,72.0,70.0,72.0,76.0,76.0,77.0,76.0
532,2009/2010,12/12/09,Chelsea,Everton,3.0,3.0,D,2.0,2.0,D,P Dowd,25.0,10.0,13.0,7.0,13.0,17.0,7.0,1.0,0.0,1.0,0.0,0.0,1.22,5.5,15.0,85.0,84.0,84.0,83.0,80.0,77.0,79.0,79.0
533,2009/2010,12/12/09,Hull,Blackburn,0.0,0.0,D,0.0,0.0,D,C Foy,9.0,14.0,7.0,9.0,14.0,19.0,3.0,4.0,1.0,2.0,0.0,0.0,2.8,3.3,2.5,70.0,72.0,73.0,73.0,75.0,75.0,75.0,75.0
534,2009/2010,12/12/09,Man United,Aston Villa,0.0,1.0,A,0.0,1.0,A,M Atkinson,16.0,8.0,9.0,5.0,4.0,14.0,9.0,4.0,1.0,1.0,0.0,0.0,1.5,4.0,7.0,86.0,81.0,84.0,82.0,82.0,79.0,76.0,79.0
535,2009/2010,12/12/09,Stoke,Wigan,2.0,2.0,D,1.0,1.0,D,M Dean,14.0,11.0,5.0,8.0,19.0,8.0,5.0,3.0,5.0,1.0,0.0,0.0,2.1,3.3,3.5,76.0,72.0,75.0,73.0,74.0,74.0,74.0,74.0
536,2009/2010,12/12/09,Sunderland,Portsmouth,1.0,1.0,D,1.0,0.0,H,S Bennett,16.0,9.0,9.0,6.0,12.0,14.0,9.0,6.0,4.0,3.0,0.0,1.0,1.8,3.5,4.5,78.0,77.0,74.0,75.0,75.0,74.0,74.0,75.0
537,2009/2010,12/12/09,Tottenham,Wolves,0.0,1.0,A,0.0,1.0,A,S Attwell,18.0,3.0,10.0,3.0,8.0,13.0,1.0,5.0,0.0,5.0,0.0,0.0,1.25,5.5,12.0,81.0,78.0,78.0,79.0,75.0,72.0,69.0,72.0
538,2009/2010,13/12/09,Liverpool,Arsenal,1.0,2.0,A,1.0,0.0,H,H Webb,6.0,7.0,3.0,5.0,19.0,16.0,3.0,4.0,3.0,3.0,0.0,0.0,2.15,3.25,3.4,88.0,82.0,81.0,82.0,85.0,82.0,82.0,81.0
539,2009/2010,15/12/09,Birmingham,Blackburn,2.0,1.0,H,1.0,0.0,H,M Jones,13.0,8.0,6.0,4.0,8.0,16.0,6.0,7.0,2.0,2.0,0.0,0.0,2.25,3.1,3.4,73.0,75.0,71.0,74.0,75.0,75.0,75.0,75.0
540,2009/2010,15/12/09,Bolton,West Ham,3.0,1.0,H,0.0,0.0,D,A Marriner,23.0,9.0,12.0,6.0,10.0,7.0,8.0,4.0,4.0,1.0,0.0,0.0,2.25,3.2,3.25,77.0,75.0,73.0,75.0,76.0,76.0,75.0,76.0
541,2009/2010,15/12/09,Man United,Wolves,3.0,0.0,H,2.0,0.0,H,S Bennett,12.0,4.0,9.0,1.0,11.0,11.0,8.0,3.0,1.0,1.0,0.0,0.0,1.2,6.0,15.0,86.0,81.0,84.0,82.0,75.0,72.0,69.0,72.0
542,2009/2010,15/12/09,Sunderland,Aston Villa,0.0,2.0,A,0.0,1.0,A,K Friend,15.0,11.0,5.0,4.0,16.0,14.0,7.0,1.0,2.0,2.0,1.0,0.0,3.0,3.2,2.4,78.0,77.0,74.0,75.0,82.0,79.0,76.0,79.0
543,2009/2010,16/12/09,Burnley,Arsenal,1.0,1.0,D,1.0,1.0,D,M Dean,8.0,17.0,3.0,9.0,11.0,11.0,3.0,6.0,2.0,0.0,0.0,0.0,7.0,4.0,1.5,75.0,72.0,70.0,72.0,85.0,82.0,82.0,81.0
544,2009/2010,16/12/09,Chelsea,Portsmouth,2.0,1.0,H,1.0,0.0,H,M Clattenburg,21.0,7.0,8.0,3.0,11.0,11.0,11.0,2.0,0.0,0.0,0.0,0.0,1.14,7.5,17.0,85.0,84.0,84.0,83.0,75.0,74.0,74.0,75.0
545,2009/2010,16/12/09,Liverpool,Wigan,2.0,1.0,H,1.0,0.0,H,P Dowd,12.0,8.0,7.0,5.0,12.0,11.0,13.0,0.0,1.0,1.0,0.0,0.0,1.33,4.5,11.0,88.0,82.0,81.0,82.0,74.0,74.0,74.0,74.0
546,2009/2010,16/12/09,Tottenham,Man City,3.0,0.0,H,1.0,0.0,H,A Wiley,19.0,9.0,7.0,5.0,10.0,8.0,5.0,6.0,2.0,3.0,0.0,0.0,2.25,3.4,3.1,81.0,78.0,78.0,79.0,84.0,80.0,80.0,81.0
547,2009/2010,19/12/09,Arsenal,Hull,3.0,0.0,H,1.0,0.0,H,S Bennett,18.0,6.0,9.0,2.0,9.0,14.0,8.0,0.0,1.0,5.0,0.0,0.0,1.2,6.0,15.0,85.0,82.0,82.0,81.0,70.0,72.0,73.0,73.0
548,2009/2010,19/12/09,Aston Villa,Stoke,1.0,0.0,H,0.0,0.0,D,L Probert,17.0,13.0,8.0,5.0,9.0,12.0,3.0,4.0,0.0,1.0,0.0,0.0,1.4,4.2,9.0,82.0,79.0,76.0,79.0,76.0,72.0,75.0,73.0
549,2009/2010,19/12/09,Blackburn,Tottenham,0.0,2.0,A,0.0,1.0,A,P Walton,13.0,7.0,9.0,2.0,7.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,3.2,3.3,2.15,75.0,75.0,75.0,75.0,81.0,78.0,78.0,79.0
550,2009/2010,19/12/09,Fulham,Man United,3.0,0.0,H,1.0,0.0,H,H Webb,10.0,16.0,7.0,4.0,10.0,9.0,5.0,2.0,0.0,1.0,0.0,0.0,6.5,4.0,1.53,76.0,76.0,77.0,76.0,86.0,81.0,84.0,82.0
551,2009/2010,19/12/09,Man City,Sunderland,4.0,3.0,H,3.0,2.0,H,A Marriner,11.0,7.0,5.0,5.0,13.0,8.0,6.0,4.0,2.0,2.0,0.0,1.0,1.44,4.2,7.5,84.0,80.0,80.0,81.0,78.0,77.0,74.0,75.0
552,2009/2010,19/12/09,Portsmouth,Liverpool,2.0,0.0,H,1.0,0.0,H,L Mason,14.0,7.0,6.0,3.0,7.0,12.0,8.0,10.0,3.0,3.0,0.0,1.0,6.0,3.8,1.57,75.0,74.0,74.0,75.0,88.0,82.0,81.0,82.0
553,2009/2010,20/12/09,Everton,Birmingham,1.0,1.0,D,1.0,1.0,D,S Attwell,19.0,2.0,7.0,1.0,8.0,9.0,6.0,4.0,0.0,3.0,0.0,0.0,1.8,3.4,4.6,80.0,77.0,79.0,79.0,73.0,75.0,71.0,74.0
554,2009/2010,20/12/09,West Ham,Chelsea,1.0,1.0,D,1.0,0.0,H,M Dean,6.0,20.0,5.0,6.0,17.0,16.0,5.0,5.0,4.0,3.0,0.0,0.0,8.5,4.6,1.36,76.0,76.0,75.0,76.0,85.0,84.0,84.0,83.0
555,2009/2010,20/12/09,Wolves,Burnley,2.0,0.0,H,1.0,0.0,H,M Atkinson,12.0,10.0,12.0,6.0,17.0,9.0,5.0,5.0,2.0,1.0,0.0,0.0,2.0,3.4,3.75,75.0,72.0,69.0,72.0,75.0,72.0,70.0,72.0
556,2009/2010,26/12/09,Birmingham,Chelsea,0.0,0.0,D,0.0,0.0,D,P Walton,11.0,27.0,4.0,12.0,6.0,17.0,7.0,11.0,1.0,2.0,0.0,1.0,6.5,3.6,1.44,73.0,75.0,71.0,74.0,85.0,84.0,84.0,83.0
557,2009/2010,26/12/09,Burnley,Bolton,1.0,1.0,D,0.0,1.0,A,C Foy,15.0,11.0,7.0,5.0,11.0,12.0,8.0,2.0,0.0,0.0,0.0,0.0,2.15,3.25,2.87,75.0,72.0,70.0,72.0,77.0,75.0,73.0,75.0
558,2009/2010,26/12/09,Fulham,Tottenham,0.0,0.0,D,0.0,0.0,D,S Bennett,15.0,6.0,6.0,1.0,19.0,12.0,4.0,2.0,1.0,0.0,0.0,0.0,2.75,3.2,2.25,76.0,76.0,77.0,76.0,81.0,78.0,78.0,79.0
559,2009/2010,26/12/09,Liverpool,Wolves,2.0,0.0,H,0.0,0.0,D,A Marriner,14.0,6.0,10.0,2.0,9.0,10.0,7.0,1.0,0.0,1.0,0.0,1.0,1.25,4.5,10.0,88.0,82.0,81.0,82.0,75.0,72.0,69.0,72.0
560,2009/2010,26/12/09,Man City,Stoke,2.0,0.0,H,2.0,0.0,H,L Mason,12.0,7.0,6.0,3.0,13.0,10.0,7.0,6.0,0.0,2.0,0.0,0.0,1.4,4.0,6.5,84.0,80.0,80.0,81.0,76.0,72.0,75.0,73.0
561,2009/2010,26/12/09,Sunderland,Everton,1.0,1.0,D,1.0,0.0,H,M Atkinson,10.0,12.0,6.0,4.0,17.0,16.0,4.0,12.0,1.0,3.0,0.0,0.0,2.2,3.25,2.75,78.0,77.0,74.0,75.0,80.0,77.0,79.0,79.0
562,2009/2010,26/12/09,West Ham,Portsmouth,2.0,0.0,H,1.0,0.0,H,L Probert,13.0,11.0,5.0,7.0,10.0,19.0,6.0,4.0,0.0,3.0,0.0,0.0,2.0,3.2,3.2,76.0,76.0,75.0,76.0,75.0,74.0,74.0,75.0
563,2009/2010,26/12/09,Wigan,Blackburn,1.0,1.0,D,0.0,1.0,A,M Clattenburg,14.0,8.0,8.0,3.0,10.0,18.0,6.0,2.0,1.0,4.0,0.0,0.0,2.15,3.25,2.87,74.0,74.0,74.0,74.0,75.0,75.0,75.0,75.0
564,2009/2010,27/12/09,Arsenal,Aston Villa,3.0,0.0,H,0.0,0.0,D,P Dowd,19.0,7.0,12.0,3.0,14.0,18.0,10.0,4.0,1.0,3.0,0.0,0.0,1.57,3.5,5.0,85.0,82.0,82.0,81.0,82.0,79.0,76.0,79.0
565,2009/2010,27/12/09,Hull,Man United,1.0,3.0,A,0.0,1.0,A,A Wiley,12.0,19.0,6.0,11.0,13.0,17.0,5.0,6.0,0.0,2.0,0.0,0.0,7.5,4.2,1.33,70.0,72.0,73.0,73.0,86.0,81.0,84.0,82.0
566,2009/2010,28/12/09,Blackburn,Sunderland,2.0,2.0,D,0.0,0.0,D,M Dean,21.0,13.0,11.0,8.0,6.0,20.0,4.0,4.0,1.0,4.0,0.0,0.0,2.1,3.3,2.87,75.0,75.0,75.0,75.0,78.0,77.0,74.0,75.0
567,2009/2010,28/12/09,Chelsea,Fulham,2.0,1.0,H,0.0,1.0,A,A Marriner,18.0,3.0,11.0,3.0,9.0,13.0,10.0,6.0,1.0,1.0,0.0,0.0,1.25,4.8,8.5,85.0,84.0,84.0,83.0,76.0,76.0,77.0,76.0
568,2009/2010,28/12/09,Everton,Burnley,2.0,0.0,H,0.0,0.0,D,H Webb,24.0,12.0,16.0,9.0,7.0,18.0,10.0,6.0,1.0,5.0,0.0,1.0,1.53,3.5,5.5,80.0,77.0,79.0,79.0,75.0,72.0,70.0,72.0
569,2009/2010,28/12/09,Stoke,Birmingham,0.0,1.0,A,0.0,0.0,D,M Atkinson,12.0,9.0,6.0,5.0,15.0,13.0,10.0,7.0,2.0,3.0,0.0,0.0,2.2,3.25,2.75,76.0,72.0,75.0,73.0,73.0,75.0,71.0,74.0
570,2009/2010,28/12/09,Tottenham,West Ham,2.0,0.0,H,1.0,0.0,H,C Foy,21.0,3.0,9.0,2.0,9.0,14.0,9.0,3.0,2.0,3.0,0.0,0.0,1.36,4.0,7.0,81.0,78.0,78.0,79.0,76.0,76.0,75.0,76.0
571,2009/2010,28/12/09,Wolves,Man City,0.0,3.0,A,0.0,1.0,A,M Jones,11.0,12.0,6.0,5.0,16.0,11.0,8.0,3.0,3.0,2.0,0.0,0.0,4.2,3.5,1.67,75.0,72.0,69.0,72.0,84.0,80.0,80.0,81.0
572,2009/2010,29/12/09,Aston Villa,Liverpool,0.0,1.0,A,0.0,0.0,D,L Probert,11.0,12.0,7.0,9.0,13.0,11.0,8.0,10.0,1.0,1.0,0.0,0.0,2.7,3.2,2.62,82.0,79.0,76.0,79.0,88.0,82.0,81.0,82.0
573,2009/2010,29/12/09,Bolton,Hull,2.0,2.0,D,1.0,0.0,H,P Dowd,16.0,12.0,6.0,7.0,14.0,18.0,8.0,8.0,1.0,2.0,0.0,0.0,1.8,3.3,3.75,77.0,75.0,73.0,75.0,70.0,72.0,73.0,73.0
574,2009/2010,30/12/09,Man United,Wigan,5.0,0.0,H,3.0,0.0,H,L Mason,23.0,11.0,16.0,6.0,6.0,11.0,7.0,3.0,0.0,1.0,0.0,0.0,1.22,5.5,15.0,86.0,81.0,84.0,82.0,74.0,74.0,74.0,74.0
575,2009/2010,30/12/09,Portsmouth,Arsenal,1.0,4.0,A,0.0,2.0,A,A Wiley,10.0,14.0,6.0,10.0,14.0,3.0,2.0,10.0,2.0,0.0,0.0,0.0,6.0,3.75,1.44,75.0,74.0,74.0,75.0,85.0,82.0,82.0,81.0
576,2009/2010,05/01/10,Stoke,Fulham,3.0,2.0,H,3.0,0.0,H,M Clattenburg,11.0,14.0,9.0,7.0,13.0,7.0,8.0,10.0,1.0,0.0,0.0,0.0,2.7,3.1,2.7,76.0,72.0,75.0,73.0,76.0,76.0,77.0,76.0
577,2009/2010,09/01/10,Arsenal,Everton,2.0,2.0,D,1.0,1.0,D,P Walton,6.0,9.0,5.0,5.0,10.0,11.0,6.0,8.0,1.0,1.0,0.0,0.0,1.4,4.5,8.0,85.0,82.0,82.0,81.0,80.0,77.0,79.0,79.0
578,2009/2010,09/01/10,Birmingham,Man United,1.0,1.0,D,1.0,0.0,H,M Clattenburg,6.0,14.0,5.0,10.0,10.0,13.0,2.0,12.0,2.0,1.0,0.0,1.0,6.0,3.8,1.57,73.0,75.0,71.0,74.0,86.0,81.0,84.0,82.0
579,2009/2010,11/01/10,Man City,Blackburn,4.0,1.0,H,2.0,0.0,H,C Foy,12.0,8.0,6.0,3.0,6.0,10.0,4.0,3.0,1.0,1.0,0.0,0.0,1.4,4.5,8.0,84.0,80.0,80.0,81.0,75.0,75.0,75.0,75.0
580,2009/2010,16/01/10,Chelsea,Sunderland,7.0,2.0,H,4.0,0.0,H,C Foy,23.0,7.0,13.0,3.0,4.0,10.0,15.0,1.0,0.0,1.0,0.0,0.0,1.22,6.0,12.0,85.0,84.0,84.0,83.0,78.0,77.0,74.0,75.0
581,2009/2010,16/01/10,Everton,Man City,2.0,0.0,H,2.0,0.0,H,A Marriner,13.0,8.0,6.0,4.0,14.0,14.0,11.0,3.0,0.0,0.0,0.0,0.0,2.8,3.3,2.5,80.0,77.0,79.0,79.0,84.0,80.0,80.0,81.0
582,2009/2010,16/01/10,Man United,Burnley,3.0,0.0,H,0.0,0.0,D,L Probert,24.0,11.0,11.0,5.0,12.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,1.17,7.0,17.0,86.0,81.0,84.0,82.0,75.0,72.0,70.0,72.0
583,2009/2010,16/01/10,Stoke,Liverpool,1.0,1.0,D,0.0,0.0,D,L Mason,6.0,4.0,5.0,3.0,14.0,10.0,10.0,0.0,1.0,2.0,0.0,0.0,3.9,3.25,2.0,76.0,72.0,75.0,73.0,88.0,82.0,81.0,82.0
584,2009/2010,16/01/10,Tottenham,Hull,0.0,0.0,D,0.0,0.0,D,M Atkinson,25.0,8.0,18.0,2.0,14.0,11.0,14.0,1.0,4.0,2.0,0.0,0.0,1.22,6.0,12.0,81.0,78.0,78.0,79.0,70.0,72.0,73.0,73.0
585,2009/2010,16/01/10,Wolves,Wigan,0.0,2.0,A,0.0,0.0,D,H Webb,9.0,20.0,4.0,14.0,14.0,16.0,4.0,3.0,4.0,3.0,1.0,1.0,2.3,3.25,3.1,75.0,72.0,69.0,72.0,74.0,74.0,74.0,74.0
586,2009/2010,17/01/10,Aston Villa,West Ham,0.0,0.0,D,0.0,0.0,D,M Jones,17.0,8.0,10.0,3.0,7.0,12.0,16.0,4.0,1.0,3.0,0.0,0.0,1.53,3.75,7.0,82.0,79.0,76.0,79.0,76.0,76.0,75.0,76.0
587,2009/2010,17/01/10,Blackburn,Fulham,2.0,0.0,H,1.0,0.0,H,K Friend,11.0,14.0,7.0,9.0,14.0,9.0,3.0,6.0,1.0,3.0,0.0,0.0,2.37,3.25,3.0,75.0,75.0,75.0,75.0,76.0,76.0,77.0,76.0
588,2009/2010,17/01/10,Bolton,Arsenal,0.0,2.0,A,0.0,1.0,A,P Dowd,12.0,14.0,6.0,9.0,13.0,5.0,2.0,4.0,1.0,2.0,0.0,0.0,6.0,4.0,1.53,77.0,75.0,73.0,75.0,85.0,82.0,82.0,81.0
589,2009/2010,20/01/10,Arsenal,Bolton,4.0,2.0,H,1.0,2.0,A,A Wiley,20.0,7.0,14.0,4.0,16.0,17.0,9.0,3.0,1.0,2.0,0.0,0.0,1.2,6.0,17.0,85.0,82.0,82.0,81.0,77.0,75.0,73.0,75.0
590,2009/2010,20/01/10,Liverpool,Tottenham,2.0,0.0,H,1.0,0.0,H,H Webb,13.0,7.0,5.0,5.0,11.0,17.0,2.0,3.0,2.0,3.0,0.0,0.0,2.4,3.3,2.9,88.0,82.0,81.0,82.0,81.0,78.0,78.0,79.0
591,2009/2010,23/01/10,Man United,Hull,4.0,0.0,H,1.0,0.0,H,S Bennett,25.0,8.0,15.0,4.0,6.0,10.0,12.0,8.0,1.0,1.0,0.0,0.0,1.14,6.0,12.0,86.0,81.0,84.0,82.0,70.0,72.0,73.0,73.0
592,2009/2010,26/01/10,Bolton,Burnley,1.0,0.0,H,1.0,0.0,H,M Atkinson,14.0,10.0,6.0,5.0,12.0,11.0,4.0,7.0,3.0,2.0,0.0,0.0,1.73,3.25,4.2,77.0,75.0,73.0,75.0,75.0,72.0,70.0,72.0
593,2009/2010,26/01/10,Portsmouth,West Ham,1.0,1.0,D,0.0,0.0,D,A Marriner,14.0,12.0,8.0,4.0,16.0,9.0,6.0,4.0,3.0,1.0,0.0,0.0,2.37,3.1,2.62,75.0,74.0,74.0,75.0,76.0,76.0,75.0,76.0
594,2009/2010,26/01/10,Tottenham,Fulham,2.0,0.0,H,1.0,0.0,H,M Dean,13.0,9.0,7.0,6.0,11.0,16.0,11.0,3.0,1.0,1.0,0.0,0.0,1.5,3.4,6.0,81.0,78.0,78.0,79.0,76.0,76.0,77.0,76.0
595,2009/2010,26/01/10,Wolves,Liverpool,0.0,0.0,D,0.0,0.0,D,P Walton,6.0,6.0,4.0,3.0,10.0,11.0,0.0,7.0,0.0,1.0,0.0,0.0,4.2,3.4,1.7,75.0,72.0,69.0,72.0,88.0,82.0,81.0,82.0
596,2009/2010,27/01/10,Aston Villa,Arsenal,0.0,0.0,D,0.0,0.0,D,L Probert,8.0,12.0,2.0,8.0,16.0,15.0,7.0,7.0,2.0,2.0,0.0,0.0,3.0,3.2,2.1,82.0,79.0,76.0,79.0,85.0,82.0,82.0,81.0
597,2009/2010,27/01/10,Blackburn,Wigan,2.0,1.0,H,1.0,0.0,H,L Mason,13.0,13.0,7.0,8.0,20.0,13.0,5.0,6.0,3.0,1.0,0.0,0.0,1.91,3.2,3.5,75.0,75.0,75.0,75.0,74.0,74.0,74.0,74.0
598,2009/2010,27/01/10,Chelsea,Birmingham,3.0,0.0,H,2.0,0.0,H,S Bennett,25.0,5.0,17.0,3.0,11.0,8.0,8.0,3.0,0.0,0.0,0.0,0.0,1.22,4.8,10.0,85.0,84.0,84.0,83.0,73.0,75.0,71.0,74.0
599,2009/2010,27/01/10,Everton,Sunderland,2.0,0.0,H,2.0,0.0,H,P Dowd,11.0,5.0,7.0,3.0,10.0,19.0,3.0,8.0,0.0,1.0,0.0,0.0,1.57,3.5,5.0,80.0,77.0,79.0,79.0,78.0,77.0,74.0,75.0
600,2009/2010,30/01/10,Birmingham,Tottenham,1.0,1.0,D,0.0,0.0,D,S Attwell,12.0,21.0,6.0,12.0,12.0,8.0,5.0,8.0,4.0,2.0,0.0,0.0,3.1,3.25,2.3,73.0,75.0,71.0,74.0,81.0,78.0,78.0,79.0
601,2009/2010,30/01/10,Burnley,Chelsea,1.0,2.0,A,0.0,1.0,A,P Dowd,5.0,16.0,3.0,9.0,12.0,12.0,2.0,9.0,1.0,1.0,0.0,0.0,8.0,4.5,1.28,75.0,72.0,70.0,72.0,85.0,84.0,84.0,83.0
602,2009/2010,30/01/10,Fulham,Aston Villa,0.0,2.0,A,0.0,2.0,A,L Mason,15.0,9.0,8.0,6.0,10.0,15.0,9.0,3.0,0.0,2.0,0.0,0.0,2.6,3.2,2.7,76.0,76.0,77.0,76.0,82.0,79.0,76.0,79.0
603,2009/2010,30/01/10,Hull,Wolves,2.0,2.0,D,1.0,0.0,H,M Dean,8.0,13.0,4.0,4.0,15.0,10.0,4.0,7.0,2.0,0.0,0.0,0.0,2.25,3.2,3.25,70.0,72.0,73.0,73.0,75.0,72.0,69.0,72.0
604,2009/2010,30/01/10,Liverpool,Bolton,2.0,0.0,H,1.0,0.0,H,S Bennett,13.0,4.0,6.0,1.0,12.0,10.0,11.0,3.0,1.0,3.0,0.0,0.0,1.44,4.2,7.5,88.0,82.0,81.0,82.0,77.0,75.0,73.0,75.0
605,2009/2010,30/01/10,West Ham,Blackburn,0.0,0.0,D,0.0,0.0,D,P Walton,7.0,8.0,6.0,4.0,17.0,13.0,10.0,7.0,0.0,1.0,0.0,0.0,2.1,3.25,3.6,76.0,76.0,75.0,76.0,75.0,75.0,75.0,75.0
606,2009/2010,30/01/10,Wigan,Everton,0.0,1.0,A,0.0,0.0,D,L Probert,10.0,10.0,4.0,7.0,19.0,10.0,4.0,7.0,0.0,2.0,0.0,0.0,3.0,3.25,2.37,74.0,74.0,74.0,74.0,80.0,77.0,79.0,79.0
607,2009/2010,31/01/10,Arsenal,Man United,1.0,3.0,A,0.0,2.0,A,C Foy,18.0,11.0,7.0,5.0,9.0,12.0,8.0,5.0,1.0,0.0,0.0,0.0,2.6,3.25,2.7,85.0,82.0,82.0,81.0,86.0,81.0,84.0,82.0
608,2009/2010,31/01/10,Man City,Portsmouth,2.0,0.0,H,2.0,0.0,H,M Atkinson,13.0,10.0,6.0,4.0,9.0,14.0,10.0,7.0,1.0,3.0,0.0,0.0,1.3,5.0,10.0,84.0,80.0,80.0,81.0,75.0,74.0,74.0,75.0
609,2009/2010,01/02/10,Sunderland,Stoke,0.0,0.0,D,0.0,0.0,D,H Webb,6.0,4.0,5.0,3.0,7.0,16.0,7.0,3.0,2.0,3.0,0.0,0.0,2.0,3.3,3.75,78.0,77.0,74.0,75.0,76.0,72.0,75.0,73.0
610,2009/2010,02/02/10,Hull,Chelsea,1.0,1.0,D,1.0,1.0,D,M Clattenburg,7.0,21.0,3.0,11.0,9.0,12.0,6.0,8.0,1.0,3.0,0.0,0.0,8.5,4.8,1.25,70.0,72.0,73.0,73.0,85.0,84.0,84.0,83.0
611,2009/2010,03/02/10,Fulham,Portsmouth,1.0,0.0,H,0.0,0.0,D,A Taylor,14.0,12.0,9.0,8.0,12.0,12.0,5.0,5.0,0.0,1.0,0.0,0.0,1.61,3.4,5.0,76.0,76.0,77.0,76.0,75.0,74.0,74.0,75.0
612,2009/2010,06/02/10,Bolton,Fulham,0.0,0.0,D,0.0,0.0,D,M Clattenburg,16.0,7.0,11.0,4.0,8.0,12.0,2.0,5.0,0.0,0.0,0.0,0.0,2.25,3.25,3.25,77.0,75.0,73.0,75.0,76.0,76.0,77.0,76.0
613,2009/2010,06/02/10,Burnley,West Ham,2.0,1.0,H,1.0,0.0,H,H Webb,8.0,20.0,4.0,11.0,15.0,13.0,3.0,5.0,2.0,1.0,0.0,0.0,2.6,3.2,2.75,75.0,72.0,70.0,72.0,76.0,76.0,75.0,76.0
614,2009/2010,06/02/10,Hull,Man City,2.0,1.0,H,1.0,0.0,H,P Dowd,8.0,17.0,4.0,11.0,14.0,14.0,4.0,8.0,2.0,4.0,0.0,0.0,5.0,3.5,1.73,70.0,72.0,73.0,73.0,84.0,80.0,80.0,81.0
615,2009/2010,06/02/10,Liverpool,Everton,1.0,0.0,H,0.0,0.0,D,M Atkinson,9.0,6.0,4.0,3.0,11.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,1.83,3.4,4.5,88.0,82.0,81.0,82.0,80.0,77.0,79.0,79.0
616,2009/2010,06/02/10,Man United,Portsmouth,5.0,0.0,H,2.0,0.0,H,L Mason,21.0,7.0,8.0,5.0,9.0,11.0,12.0,1.0,1.0,4.0,0.0,0.0,1.12,7.5,23.0,86.0,81.0,84.0,82.0,75.0,74.0,74.0,75.0
617,2009/2010,06/02/10,Stoke,Blackburn,3.0,0.0,H,2.0,0.0,H,S Bennett,15.0,9.0,11.0,4.0,13.0,20.0,12.0,7.0,2.0,3.0,0.0,1.0,2.25,3.2,3.3,76.0,72.0,75.0,73.0,75.0,75.0,75.0,75.0
618,2009/2010,06/02/10,Sunderland,Wigan,1.0,1.0,D,0.0,1.0,A,S Attwell,11.0,14.0,8.0,6.0,12.0,14.0,2.0,3.0,4.0,5.0,0.0,0.0,2.0,3.3,3.8,78.0,77.0,74.0,75.0,74.0,74.0,74.0,74.0
619,2009/2010,06/02/10,Tottenham,Aston Villa,0.0,0.0,D,0.0,0.0,D,C Foy,28.0,10.0,15.0,5.0,10.0,13.0,12.0,4.0,0.0,0.0,0.0,0.0,2.05,3.3,3.6,81.0,78.0,78.0,79.0,82.0,79.0,76.0,79.0
620,2009/2010,07/02/10,Birmingham,Wolves,2.0,1.0,H,0.0,1.0,A,L Probert,15.0,12.0,10.0,5.0,12.0,18.0,11.0,4.0,5.0,3.0,0.0,0.0,1.8,3.3,4.8,73.0,75.0,71.0,74.0,75.0,72.0,69.0,72.0
621,2009/2010,07/02/10,Chelsea,Arsenal,2.0,0.0,H,2.0,0.0,H,M Dean,9.0,14.0,3.0,6.0,11.0,14.0,4.0,8.0,2.0,2.0,0.0,0.0,1.8,3.3,4.8,85.0,84.0,84.0,83.0,85.0,82.0,82.0,81.0
622,2009/2010,09/02/10,Fulham,Burnley,3.0,0.0,H,2.0,0.0,H,C Foy,16.0,10.0,12.0,3.0,9.0,9.0,6.0,2.0,1.0,0.0,0.0,0.0,1.73,3.4,5.25,76.0,76.0,77.0,76.0,75.0,72.0,70.0,72.0
623,2009/2010,09/02/10,Man City,Bolton,2.0,0.0,H,1.0,0.0,H,M Jones,8.0,11.0,4.0,5.0,8.0,18.0,6.0,3.0,0.0,2.0,0.0,0.0,1.44,4.2,7.5,84.0,80.0,80.0,81.0,77.0,75.0,73.0,75.0
624,2009/2010,09/02/10,Portsmouth,Sunderland,1.0,1.0,D,0.0,1.0,A,K Friend,12.0,7.0,6.0,2.0,10.0,15.0,8.0,4.0,3.0,1.0,1.0,2.0,2.3,3.2,3.2,75.0,74.0,74.0,75.0,78.0,77.0,74.0,75.0
